"die Sekunde, die Sekunden",second
"die Minute, die Minuten",minute
"die Stunde, die Stunden ",hour
"der Tag, die Tage",day
"die Woche, die Wochen",week
"das Jahr, die Jahre",year
"der Wochentag, die Wochentage",weekday
der Sonntag,Sunday
der Montag,Monday
der Dienstag,Tuesday
der Mittwoch,Wednesday
der Donnerstag,Thursday
der Freitag,Friday
der Samstag,Saturday
das Wochenende,weekend
der Morgen,morning
"der Vormittag, die Vormittage",forenoon
"der Nachmittag, die Nachmittage",afternoon
"die Nacht, die Nachte",night
"der Abend, die Abende",evening
der Mittag,noon
"der Monat, die Monate",month
der Januar,January
der Februar,February
der März,March
der April,April
der Mai,May
der Juni,June
der Juli,July
der August,August
der September,September
der Oktober,October
der November,November
der Dezember,December
der Frühling,spring
der Sommer,summer
der Herbst,fall
der Winter,winter
schwarze,black
weiß,white
grau,green
blau,blue
rot,red
gelb,yellow
grün,green
braun,brown
rosa,pink
lila,purple
der Norden,north (n.)
der Süden,south  (n.)
der Western,west  (n.)
der Osten,east  (n.)
in der Mitte,in the middle
in der Nähe,nearby
ab,from
aber,but
abfahren,depart  (v.)
die abfahrt,depature  (n.)
abholen,pick... Up   (v.)
der Absender,sender  (n.)
Actung,attention  (n.)
"die Adresse, die Adressen",address  (n.)
allein,alone   (adj.)
alt,old  (adj.)
das Alter,age (n.)
anbieten ,offer (v.)
"das Angebot, die Angebote",offer (n.)
im Angebot,on sale 
anfangen,begin  (v.)
"der Anfang, die Änfange",begining (n.)
anklicken,click on sth. (v.)
ankommen,arrive (v.)
"die Ankunft, die Ankünft",arrival (n.)
ankreuzen,check (v.)
anmachen,turn sth. on (v.)
sich anmelden,register (n.)
"die Anmeldung, die Anmeldungen",registeration (n.)
die Anrede,(form of) address (n.)
anrufen,call (v.)
"der Anruf, die Anrufe",call (n.)
der Anrufbeanworter,answer machine (n.)
"die Ansage, die Ansagen",announcement (n.)
"der Anschluss, die Anschlüsse",connection (n.)
an sein,be on 
anworten,answer (v.)
"die Anwort, die Anworten",answer (n.)
"die Anzeige, die Anzeigen",advertisement (n.)
anziehen,put on sth. (v.)
"das Apartment, die Apartments",apartment (n.)
"der Apfel, die Äpfel",apple (n.)
der Appetit,appetite (n.)
arbeiten,work (v.)
"die Arbeit, die Arbeiten",work (n.)
arbeitslos,unemployed (adj.)
"der Arbeitsplatz, die Arbeitspläze",workplace (n.)
"der Arm, die Arme",arm (n.)
"der Arzt, die Ärztin",doctor (n.)
auch,also (adv.)
auf,open (prep.)
aufstehen,wake up (v.)
"der Auszug, die Auszüge",elevator (n.)
"das Auge, die Augen",eye (n.)
"der Ausflug, die Ausflüge",short trip (n.)
ausfüllen,fill sth. In (v.)
"der Ausgang, die Ausgänge",exit (n.)
"die Auskunft, die Auskünfte",information (n.)
das Ausland,foreign country (n.)
ausländisch,foreign (adj.)
ausmachen,turn off (v.)
aussehen,look (v.)
aus sein,be off
ausziehen,take off (clothes) (v.)
der Ausweis,identification card (n.)
"das Auto, die Autos",car (n.)
"die Autobahn, die Autobahnen",freeway (n.)
"der Automat, die Automaten",kiosk (n.)
automatisch,automatic (adj.)
"die Aussage, die Aussagen",statement (n.)
"die Aufgabe, die Aufgaben",assignment (n.)
aufhören,end (v.)
aussteigen,get off (v.)
"das Baby, die Babys",baby (n.)
"die Bäckerei, die Bäkereien",bakery (n.)
"das Bad, die Bäden",bath (n.)
baden,take a bath (v.)
"die Bahn, die Bahnen",train (n.)
"der Bahnhof, die Bahnhöfe",train station (n.)
"der Bahnsteig, die Bahnsteige",platform (n.)
bald,soon (adv.)
"der Balkon, die Balkone",balcony (n.)
"die Banana, die Bananan",banana (n.)
"die Bank, die Banken",bank (n.)
bar,cash (n.)
"der Bauch, die Bäuche",belly (n.)
"der Baum, die Bäume",tree (n.)
"der Beamte, die Beamtin",civil servant (n.)
bedeuten,mean (v.)
beginnen,begin  (v.)
bei,"with, by (prep.)"
beide,both (adv.)
"das Bein, die Beine",leg (n.)
"das Beispiel, die Beispiele",example (n.)
zum Beispiel,for example
bekannt,famous (adj.)
"der Bekannte, die Bekanntin",familiar person (n.)
bekommen,receive (v.)
benutzen,use (v.)
"der Beruf, die Berufe",work (n.)
besitzt,occupied (adj.)
besichtigen,sightseeing (v.)
besser,better (adj.)
bestellen,order (v.)
besuchen,search (v.)
"das Bett, die Betteen",bed (n.)
bezahlen,pay for (v.)
"das Bier, die Biere",beer (n.)
"das Bild, die Bilder",paiting (n.)
billig,cheap (adj.)
"die Birne, die Birnen",pear (n.)
bis,til (prep.)
bisschen,a little (adj.)
bitte,please 
"die Bitte, die Bitten",request (n.)
bitter,bitter (adj.)
bleiben,stay (v.)
"die Bleistift, die Bleistifte",pen (n.)
der Blick,look; glance (n.)
"die Blume, die Blumen",flower (n.)
der Boden,floor (n.)
böse,bad; evil (adj.)
brauchen,need (v.)
breit,wide (adj.)
"der Brief, die Briefe",letter (n.)
"die Briefmarke, die Briefmarken",stamp (n.)
bringen,bring (v.)
"das Brot, die Brote",bread (n.)
"die Brötchen, die Brötchen",breadroll (n.)
"der Bruder, die Brüder",brother (n.)
"das Buch, die Bücher",book (n.)
"der Buchstabe, die Buchstaben","letter (a,b,c) (n.)"
buchstabieren,spell (v.)
"der Bus, die Busse",bus (n.)
die Butter,butter (n.)
"das Cafe, die Cafes",coffee shop (n.)
"die CD, die CDs",CD (n.)
"der Chef, die Chefin",boss (n.)
circa,approximately (adv.)
"der Computer, die Computer",computer (n.)
da,there (pron.)
"die Dame, die Damen",lady (n.)
daneben,next to; wrong (n.)
danken,thank (v.) 
der Dank,gratitude (n.)
danke,thank you 
dann,then (conj.)
"das Datum, die Datumen",date (n.)
dauren,to last (v.)
denn,because (conj.)
dich,you (accu.)
dir,you (dativ.)
"die Disko, die Diskos",disco (n.)
Der Doktor,doctor (n.)
"das Doppelzimmer, die Doppelzimmer",double bed room (n.)
"das Dorf, die Döfer",village (n.)
daußen,outside (adv.)
drucken,print (v.)
"der Drucker, die Drucker",printer (n.)
drücken,press; push; hug (v.)
durch,go through (prep.)
