abschließen,to be locked; to complete (v.)
"die Ahnung, die Ahnungen",idea (n.)
aktiv,active (adj.)
aktuell,current (adj.)
"die Ampel, die Ampeln",traffic light (n.)
ändern,to change (v.)
"die Angst, die Ängste","fear, anxiety (n.)"
ansehen,"to look at, to watch (v.)"
"der Anzug, die Änzuge",suit (n.)
"die Apotheke, die Apotheken",pharmacy (n.)
"der Apparat, die Apparate",device; eqipment (n.)
ängern (sich),to annoy; to make angry (v.)
arm,poor (adj.)
"der Artikelm, die Artikel",article (n.)
auf jeden Fall,of course 
aufpassen,to watch out; to look after (v.)
aufräumen,to tidy up (v.)
aufregend,exciting (adj.)
"die Ausbildung, die Ausbildungen",apparenticeship (n.)
ausgeben,to spend (v.)
ausgehen,to go out; to extinguish (v.)
auspacken,to unpack (v.)
ausruhen (sich),to rest; to relax (v.)
außer,except for (prep.)
außerdem,besides (adv.)
außerhalb,outside of (prep.)
aussprechen,to pronunce (v.)
"die Ausstellung, die Ausstellungen",exhibition (n.)
austragen,"to deliver, to distribute (v.)"
"der Babysitter, die Babysitterin",babysitter (n.)
baken,to bake (v.)
"der Ball, die Bälle",ball (n.)
"die Bank, die Bands",band (n.)
"die Bank, die Bänken",bench (n.)
"der Basketball, die Basketbälle",basketball (n.)
basteln,to do handcraft (v.)
bauen,to build (v.)
"die Baustelle, die Baustellen",construction site (n.)
beantworten,to answer (v.)
bedanken,to thank (v.)
beeilen,to hurry (v.)
beenden,to end (v.)
begründen,to justify; to give a reason for (v.)
beliebt,popular (adj.)
bequem,confortable (adj.)
bebraten,to advise (v.)
"der Berg, die Berge",castle (n.)
berichten,to report (v.)
berühmt,famous (adj.)
der Bescheid,notification (n.)
beschreiben,to describe (v.)
beschweren,to complain (v.)
besonders,especially (adv.)
bestätigen,to comfirm (v.)
bestehen,"to exist, to pass (v.)"
"der Besuch, die Besuche",visit (n.)
bewerben,to apply (v.)
bewölkt,cloudy (adj.)
"die Wölke, die Wölken",cloud (n.)
bitten,to ask (v.)
"das Blatt, die Blätter",page; leaf (n.)
blöd,stupid; dumb (adj.)
"der Blog, die Blogs",blog (n.)
blond,blond (adj.)
"die Bluse, die Blusen",shirt (n.)
"die Bohne, die Bohnen",bean (n.)
braten,to fry; to roast (v.)
"die Brille, die Brillen",glasses (n.)
"die Brücke, die Brücken",bridge (n.)
buchen,to book (v.)
bunt,colorful (adj.)
"das Büro, die Büros",office (n.)
"die Cafeteria, die Cafeterias",cafeteria (n.)
chatten,to chat (v.)
"der Club, die Clubs",club (n.)
